species_height,accepted_name,coevol,mallee
Eucalyptus nova-anglica,Eucalyptus_nova-anglica,E_nova-anglica,N
Eucalyptus nudicaulis,Eucalyptus_nudicaulis,E_nudicaulis,Y
Eucalyptus nutans,Eucalyptus_nutans,E_nutans,N
Eucalyptus obconica,Eucalyptus_obconica,E_obconica,S
Eucalyptus obesa,Eucalyptus_obesa,E_obesa,Y
Eucalyptus obliqua,Eucalyptus_obliqua,E_obliqua,S
Eucalyptus obtusiflora,Eucalyptus_obtusiflora,E_obtusiflora,S
Eucalyptus occidentalis,Eucalyptus_occidentalis,E_occidentalis,S
Eucalyptus ochrophloia,Eucalyptus_ochrophloia,E_ochrophloia,N
Eucalyptus odontocarpa,Eucalyptus_odontocarpa,E_odontocarpa,Y
Eucalyptus odorata,Eucalyptus_odorata,E_odorata,S
Eucalyptus oldfieldii,Eucalyptus_oldfieldii,E_oldfieldii,Y
Eucalyptus oleosa subsp. corvina,Eucalyptus_oleosa,E_oleosa,S
Eucalyptus olida,Eucalyptus_olida,E_olida,N
Eucalyptus oligantha,Eucalyptus_oligantha,E_oligantha,N
Eucalyptus olivina,Eucalyptus_olivina,E_olivina,S
Eucalyptus olsenii,Eucalyptus_olsenii,E_olsenii,N
Eucalyptus ophitica,Eucalyptus_ophitica,E_ophitica,N
Eucalyptus optima,Eucalyptus_optima,E_optima,N
Eucalyptus oraria,Eucalyptus_oraria,E_oraria,S
Eucalyptus orbifolia,Eucalyptus_orbifolia,E_orbifolia,Y
Eucalyptus ordiana,Eucalyptus_ordiana,E_ordiana,S
Eucalyptus oreades,Eucalyptus_oreades,E_oreades,N
Eucalyptus orgadophila,Eucalyptus_orgadophila,E_orgadophila,N
Eucalyptus ornata,Eucalyptus_ornata,E_ornata,N
Eucalyptus orthostemon,Eucalyptus_orthostemon,E_orthostemon,Y
Eucalyptus ovata subsp. ovata,Eucalyptus_ovata,E_ovata,N
Eucalyptus ovularis,Eucalyptus_ovularis,E_ovularis,S
Eucalyptus oxymitra,Eucalyptus_oxymitra,E_oxymitra,Y
Eucalyptus pachycalyx subsp. waajensis,Eucalyptus_pachycalyx,E_pachycalyx,N
Eucalyptus pachyloma,Eucalyptus_pachyloma,E_pachyloma,Y
Eucalyptus pachyphylla,Eucalyptus_pachyphylla,E_pachyphylla,Y
Eucalyptus paedoglauca,Eucalyptus_paedoglauca,E_paedoglauca,N
Eucalyptus paliformis,Eucalyptus_paliformis,E_paliformis,N
Eucalyptus paludicola,Eucalyptus_paludicola,E_paludicola,S
Eucalyptus panda,Eucalyptus_panda,E_panda,N
Eucalyptus paniculata,Eucalyptus_paniculata,E_paniculata,N
Eucalyptus pantoleuca,Eucalyptus_pantoleuca,E_pantoleuca,N
Eucalyptus parramattensis subsp. decadens,Eucalyptus_parramattensis,E_parramattensis,N
Eucalyptus parvula,Eucalyptus_parvula,E_parvula,N
Eucalyptus patellaris,Eucalyptus_patellaris,E_patellaris,N
Eucalyptus patens,Eucalyptus_patens,E_patens,N
Eucalyptus pauciflora subsp. pauciflora,Eucalyptus_pauciflora,E_pauciflora,S
Eucalyptus pellita,Eucalyptus_pellita,E_pellita,N
Eucalyptus pendens,Eucalyptus_pendens,E_pendens,Y
Eucalyptus peninsularis,Eucalyptus_peninsularis,E_peninsularis,Y
Eucalyptus perangusta,Eucalyptus_perangusta,E_perangusta,Y
Eucalyptus percostata,Eucalyptus_percostata,E_percostata,Y
Eucalyptus perriniana,Eucalyptus_perriniana,E_perriniana,S
Eucalyptus persistens subsp. tardecidens,Eucalyptus_persistens,E_persistens,S
Eucalyptus petiolaris,Eucalyptus_petiolaris,E_petiolaris,N
Eucalyptus petraea,Eucalyptus_petraea,E_petraea,S
Eucalyptus petrensis,Eucalyptus_petrensis,E_petrensis,Y
Eucalyptus phaenophylla subsp. phaenophylla,Eucalyptus_phaenophylla,E_phaenophylla,Y
Eucalyptus phenax subsp. compressa,Eucalyptus_phenax,E_phenax,Y
Eucalyptus phoenicea,Eucalyptus_phoenicea,E_phoenicea,N
Eucalyptus phylacis,NA,NA,S
Eucalyptus pilbarensis,Eucalyptus_pilbarensis,E_pilbarensis,Y
Eucalyptus pileata,Eucalyptus_pileata,E_pileata,S
Eucalyptus pilligaensis,NA,NA,N
Eucalyptus pilularis,Eucalyptus_pilularis,E_pilularis,N
Eucalyptus pimpiniana,Eucalyptus_pimpiniana,E_pimpiniana,Y
Eucalyptus piperita subsp. urceolaris,Eucalyptus_piperita,E_piperita,N
Eucalyptus placita,Eucalyptus_placita,E_placita,N
Eucalyptus planchoniana,Eucalyptus_planchoniana,E_planchoniana,N
Eucalyptus platycorys,Eucalyptus_platycorys,E_platycorys,S
Eucalyptus platydisca,Eucalyptus_platydisca,E_platydisca,Y
Eucalyptus platyphylla,Eucalyptus_platyphylla,E_platyphylla,N
Eucalyptus platypus subsp. congregata,Eucalyptus_platypus,E_platypus,N
Eucalyptus pleurocarpa,Eucalyptus_pleurocarpa,E_pleurocarpa,Y
Eucalyptus pluricaulis subsp. pluricaulis,Eucalyptus_pluricaulis,E_pluricaulis,Y
Eucalyptus polita,Eucalyptus_polita,E_polita,N
Eucalyptus polyanthemos subsp. vestita,Eucalyptus_polyanthemos,E_polyanthemos,S
Eucalyptus polybractea,Eucalyptus_polybractea,E_polybractea,Y
Eucalyptus populnea,Eucalyptus_populnea,E_populnea,N
Eucalyptus porosa,Eucalyptus_porosa,E_porosa,S
Eucalyptus praetermissa,Eucalyptus_praetermissa,E_praetermissa,N
Eucalyptus prava,Eucalyptus_prava,E_prava,N
Eucalyptus preissiana subsp. preissiana,Eucalyptus_preissiana,E_preissiana,S
Eucalyptus prolixa,Eucalyptus_prolixa,E_prolixa,N
Eucalyptus prominens,Eucalyptus_prominens,E_prominens,Y
Eucalyptus propinqua,Eucalyptus_propinqua,E_propinqua,N
Eucalyptus protensa,Eucalyptus_protensa,E_protensa,N
Eucalyptus provecta,Eucalyptus_provecta,E_provecta,S
Eucalyptus pruiniramis,Eucalyptus_pruiniramis,E_pruiniramis,S
Eucalyptus pruinosa subsp. tenuata,Eucalyptus_pruinosa,E_pruinosa,S
Eucalyptus psammitica,Eucalyptus_psammitica,E_psammitica,N
Eucalyptus pterocarpa,Eucalyptus_pterocarpa,E_pterocarpa,N
Eucalyptus pulchella,Eucalyptus_pulchella,E_pulchella,N
Eucalyptus pulverulenta,Eucalyptus_pulverulenta,E_pulverulenta,S
Eucalyptus pumila,Eucalyptus_pumila,E_pumila,Y
Eucalyptus punctata,Eucalyptus_punctata,E_punctata,N
Eucalyptus purpurata,Eucalyptus_purpurata,E_purpurata,N
Eucalyptus pyriformis,Eucalyptus_pyriformis,E_pyriformis,Y
Eucalyptus pyrocarpa,Eucalyptus_pyrocarpa,E_pyrocarpa,N
Eucalyptus quadrangulata,Eucalyptus_quadrangulata,E_quadrangulata,N
Eucalyptus quadrans,Eucalyptus_quadrans,E_quadrans,S
Eucalyptus quadricostata,Eucalyptus_quadricostata,E_quadricostata,N
Eucalyptus quaerenda,Eucalyptus_quaerenda,E_quaerenda,Y
Eucalyptus racemosa subsp. racemosa,Eucalyptus_racemosa,E_racemosa,S
Eucalyptus radiata subsp. radiata,Eucalyptus_radiata,E_radiata,N
Eucalyptus rameliana,Eucalyptus_rameliana,E_rameliana,Y
Eucalyptus raveretiana,Eucalyptus_raveretiana,E_raveretiana,N
Eucalyptus ravida,Eucalyptus_ravida,E_ravida,N
Eucalyptus recta,Eucalyptus_recta,E_recta,N
Eucalyptus recurva,Eucalyptus_recurva,E_recurva,Y
Eucalyptus redunca,Eucalyptus_redunca,E_redunca,Y
Eucalyptus regnans,Eucalyptus_regnans,E_regnans,N
Eucalyptus relicta,Eucalyptus_relicta,E_relicta,N
Eucalyptus remota,Eucalyptus_remota,E_remota,S
Eucalyptus repullulans,Eucalyptus_repullulans,E_repullulans,Y
Eucalyptus resinifera subsp. hemilampra,Eucalyptus_resinifera,E_resinifera,N
Eucalyptus retinens,Eucalyptus_retinens,E_retinens,N
Eucalyptus rhodantha,Eucalyptus_rhodantha,E_rhodantha,Y
Eucalyptus rhombica,Eucalyptus_rhombica,E_rhombica,N
Eucalyptus rhomboidea,Eucalyptus_rhomboidea,E_rhomboidea,N
Eucalyptus rigens,Eucalyptus_rigens,E_rigens,Y
Eucalyptus rigidula,Eucalyptus_rigidula,E_rigidula,Y
Eucalyptus risdonii,Eucalyptus_risdonii,E_risdonii,N
Eucalyptus robusta,Eucalyptus_robusta,E_robusta,N
Eucalyptus rodwayi,Eucalyptus_rodwayi,E_rodwayi,N
Eucalyptus rosacea,Eucalyptus_rosacea,E_rosacea,Y
Eucalyptus roycei,Eucalyptus_roycei,E_roycei,S
Eucalyptus rubida subsp. barbigerorum,Eucalyptus_rubida,E_rubida,N
Eucalyptus rubiginosa,Eucalyptus_rubiginosa,E_rubiginosa,N
Eucalyptus rudderi,Eucalyptus_rudderi,E_rudderi,N
Eucalyptus rudis subsp. rudis,Eucalyptus_rudis,E_rudis,N
Eucalyptus rugosa,Eucalyptus_rugosa,E_rugosa,Y
Eucalyptus rugulata,Eucalyptus_rugulata,E_rugulata,N
Eucalyptus rummeryi,Eucalyptus_rummeryi,E_rummeryi,N
Eucalyptus rupestris,Eucalyptus_rupestris,E_rupestris,N
Eucalyptus salicola,Eucalyptus_salicola,E_salicola,N
Eucalyptus saligna,Eucalyptus_saligna,E_saligna,N
Eucalyptus salmonophloia,Eucalyptus_salmonophloia,E_salmonophloia,N
Eucalyptus salubris,Eucalyptus_salubris,E_salubris,N
Eucalyptus sargentii subsp. sargentii,Eucalyptus_sargentii,E_sargentii,Y
Eucalyptus saxatilis,Eucalyptus_saxatilis,E_saxatilis,S
Eucalyptus scias subsp. scias,Eucalyptus_scias,E_scias,N
Eucalyptus scoparia,Eucalyptus_scoparia,E_scoparia,N
Eucalyptus scopulorum,Eucalyptus_scopulorum,E_scopulorum,N
Eucalyptus scyphocalyx,Eucalyptus_scyphocalyx,E_scyphocalyx,S
Eucalyptus seeana,Eucalyptus_seeana,E_seeana,N
Eucalyptus semota,Eucalyptus_semota,E_semota,S
Eucalyptus sepulcralis,Eucalyptus_sepulcralis,E_sepulcralis,S
Eucalyptus serraensis,Eucalyptus_serraensis,E_serraensis,S
Eucalyptus sessilis,Eucalyptus_sessilis,E_sessilis,Y
Eucalyptus sheathiana,Eucalyptus_sheathiana,E_sheathiana,S
Eucalyptus shirleyi,Eucalyptus_shirleyi,E_shirleyi,N
Eucalyptus sicilifolia,Eucalyptus_sicilifolia,E_sicilifolia,N
Eucalyptus siderophloia,Eucalyptus_siderophloia,E_siderophloia,N
Eucalyptus sideroxylon,Eucalyptus_sideroxylon,E_sideroxylon,N
Eucalyptus sieberi,Eucalyptus_sieberi,E_sieberi,N
Eucalyptus similis,Eucalyptus_similis,E_similis,N
Eucalyptus singularis,Eucalyptus_singularis,E_singularis,N
Eucalyptus smithii,Eucalyptus_smithii,E_smithii,S
Eucalyptus socialis subsp. victoriensis,Eucalyptus_socialis,E_socialis,Y
Eucalyptus sp. Cockburn,NA,NA,
Eucalyptus sp. Dorsiventralis,NA,NA,
Eucalyptus sp. Flinders Ranges,NA,NA,
Eucalyptus sp. Kalbarri,NA,NA,
Eucalyptus sp. Triangolensis,NA,NA,
Eucalyptus sp. Undulans,NA,NA,
Eucalyptus sparsa,Eucalyptus_sparsa,E_sparsa,Y
Eucalyptus sparsifolia,Eucalyptus_sparsifolia,E_sparsifolia,N
Eucalyptus spathulata,Eucalyptus_spathulata,E_spathulata,N
Eucalyptus sphaerocarpa,Eucalyptus_sphaerocarpa,E_sphaerocarpa,N
Eucalyptus splendens subsp. arcana,Eucalyptus_splendens,E_splendens,N
Eucalyptus sporadica,Eucalyptus_sporadica,E_sporadica,Y
Eucalyptus spreta,Eucalyptus_spreta,E_spreta,N
Eucalyptus squamosa,Eucalyptus_squamosa,E_squamosa,N
Eucalyptus staeri,Eucalyptus_staeri,E_staeri,S
Eucalyptus staigeriana,Eucalyptus_staigeriana,E_staigeriana,N
Eucalyptus steedmanii,Eucalyptus_steedmanii,E_steedmanii,N
Eucalyptus stellulata,Eucalyptus_stellulata,E_stellulata,S
Eucalyptus stenostoma,Eucalyptus_stenostoma,E_stenostoma,N
Eucalyptus stoatei,Eucalyptus_stoatei,E_stoatei,N
Eucalyptus stowardii,Eucalyptus_stowardii,E_stowardii,Y
Eucalyptus striaticalyx,Eucalyptus_striaticalyx,E_striaticalyx,
Eucalyptus stricklandii,Eucalyptus_stricklandii,E_stricklandii,N
Eucalyptus stricta,Eucalyptus_stricta,E_stricta,Y
Eucalyptus strzeleckii,Eucalyptus_strzeleckii,E_strzeleckii,N
Eucalyptus sturgissiana,Eucalyptus_sturgissiana,E_sturgissiana,Y
Eucalyptus subangusta subsp. pusilla,Eucalyptus_subangusta,E_subangusta,S
Eucalyptus subcrenulata,Eucalyptus_subcrenulata,E_subcrenulata,N
Eucalyptus suberea,Eucalyptus_suberea,E_suberea,S
Eucalyptus subtilis,Eucalyptus_subtilis,E_subtilis,Y
Eucalyptus suffulgens,Eucalyptus_suffulgens,E_suffulgens,N
Eucalyptus suggrandis subsp. alipes,Eucalyptus_suggrandis,E_suggrandis,S
Eucalyptus surgens,Eucalyptus_surgens,E_surgens,Y
Eucalyptus synandra,Eucalyptus_synandra,E_synandra,Y
Eucalyptus talyuberlup,Eucalyptus_talyuberlup,E_talyuberlup,S
Eucalyptus taurina,Eucalyptus_taurina,E_taurina,N
Eucalyptus tectifica,Eucalyptus_tectifica,E_tectifica,N
Eucalyptus tenella,Eucalyptus_tenella,E_tenella,N
Eucalyptus tenera,Eucalyptus_tenera,E_tenera,Y
Eucalyptus tenuipes,Eucalyptus_tenuipes,E_tenuipes,N
Eucalyptus tenuiramis,Eucalyptus_tenuiramis,E_tenuiramis,N
Eucalyptus tenuis,Eucalyptus_tenuis,E_tenuis,Y
Eucalyptus tephroclada,Eucalyptus_tephroclada,E_tephroclada,Y
Eucalyptus tephrodes,Eucalyptus_tephrodes,E_tephrodes,S
Eucalyptus terebra,Eucalyptus_terebra,E_terebra,N
Eucalyptus tereticornis subsp. tereticornis,Eucalyptus_tereticornis,E_tereticornis,N
Eucalyptus terrica,Eucalyptus_terrica,E_terrica,N
Eucalyptus tetrapleura,Eucalyptus_tetrapleura,E_tetrapleura,N
Eucalyptus tetraptera,Eucalyptus_tetraptera,E_tetraptera,Y
Eucalyptus tetrodonta,Eucalyptus_tetrodonta,E_tetrodonta,N
Eucalyptus thamnoides subsp. megista,Eucalyptus_thamnoides,E_thamnoides,Y
Eucalyptus tholiformis,Eucalyptus_tholiformis,E_tholiformis,N
Eucalyptus thozetiana,Eucalyptus_thozetiana,E_thozetiana,N
Eucalyptus tindaliae,Eucalyptus_tindaliae,E_tindaliae,S
Eucalyptus tintinnans,Eucalyptus_tintinnans,E_tintinnans,N
Eucalyptus todtiana,Eucalyptus_todtiana,E_todtiana,S
Eucalyptus torquata,Eucalyptus_torquata,E_torquata,N
Eucalyptus tortilis,Eucalyptus_tortilis,E_tortilis,N
Eucalyptus transcontinentalis,Eucalyptus_transcontinentalis,E_transcontinentalis,N
Eucalyptus tricarpa,Eucalyptus_tricarpa,E_tricarpa,N
Eucalyptus triflora,Eucalyptus_triflora,E_triflora,N
Eucalyptus trivalvis,NA,NA,S
Eucalyptus tumida,Eucalyptus_tumida,E_tumida,Y
Eucalyptus ultima,Eucalyptus_ultima,E_ultima,Y
Eucalyptus umbra,Eucalyptus_umbra,E_umbra,N
Eucalyptus umbrawarrensis,Eucalyptus_umbrawarrensis,E_umbrawarrensis,N
Eucalyptus uncinata,Eucalyptus_uncinata,E_uncinata,S
Eucalyptus urna,Eucalyptus_urna,E_urna,Y
Eucalyptus urnigera,Eucalyptus_urnigera,E_urnigera,N
Eucalyptus utilis,Eucalyptus_utilis,E_utilis,S
Eucalyptus valens,Eucalyptus_valens,E_valens,N
Eucalyptus varia subsp. salsuginosa,Eucalyptus_varia,E_varia,Y
Eucalyptus vegrandis,Eucalyptus_vegrandis,E_vegrandis,Y
Eucalyptus vernicosa,Eucalyptus_vernicosa,E_vernicosa,Y
Eucalyptus verrucata,Eucalyptus_verrucata,E_verrucata,N
Eucalyptus vesiculosa,Eucalyptus_vesiculosa,E_vesiculosa,N
Eucalyptus vicina,Eucalyptus_vicina,E_vicina,S
Eucalyptus victoriana,Eucalyptus_victoriana,E_victoriana,N
Eucalyptus victrix,Eucalyptus_victrix,E_victrix,
Eucalyptus viminalis subsp. cygnetensis,Eucalyptus_viminalis,E_viminalis,S
Eucalyptus virens,Eucalyptus_virens,E_virens,N
Eucalyptus virginea,Eucalyptus_virginea,E_virginea,S
Eucalyptus viridis,Eucalyptus_viridis,E_viridis,S
Eucalyptus vokesensis,Eucalyptus_vokesensis,E_vokesensis,Y
Eucalyptus volcanica,Eucalyptus_volcanica,E_volcanica,N
Eucalyptus wandoo subsp. pulverea,Eucalyptus_wandoo,E_wandoo,N
Eucalyptus websteriana,Eucalyptus_websteriana,E_websteriana,Y
Eucalyptus whitei,Eucalyptus_whitei,E_whitei,N
Eucalyptus wilcoxii,Eucalyptus_wilcoxii,E_wilcoxii,S
Eucalyptus williamsiana,Eucalyptus_williamsiana,E_williamsiana,N
Eucalyptus willisii subsp. falciformis,Eucalyptus_willisii,E_willisii,S
Eucalyptus woodwardii,Eucalyptus_woodwardii,E_woodwardii,N
Eucalyptus wyolensis,Eucalyptus_wyolensis,E_wyolensis,Y
Eucalyptus xanthonema subsp. xanthonema,Eucalyptus_xanthonema,E_xanthonema,Y
Eucalyptus xerothermica,Eucalyptus_xerothermica,E_xerothermica,S
Eucalyptus yalatensis,Eucalyptus_yalatensis,E_yalatensis,Y
Eucalyptus yarraensis,Eucalyptus_yarraensis,E_yarraensis,N
Eucalyptus yilgarnensis,Eucalyptus_yilgarnensis,E_yilgarnensis,S
Eucalyptus youmanii,Eucalyptus_youmanii,E_youmanii,N
Eucalyptus youngiana,Eucalyptus_youngiana,E_youngiana,S
Eucalyptus yumbarrana,Eucalyptus_yumbarrana,E_yumbarrana,S
Eucalyptus zopherophloia,Eucalyptus_zopherophloia,E_zopherophloia,Y