Sample (Bag),accepted_name,species,dry mass (g),dry mass (g),dry mass (g),Area mm2,Area mm2,Area mm2,SLA cm2/g,SLA cm2/g,SLA cm2/g,mean_SLA,CV SLA,Mean Mass,Mean Area,
622,Eucalyptus largeana,Eucalyptus Eucalyptus largeana,0.5109,0.2401,0.2151,2117,1323,1149,41.44,55.1,53.42,49.99,14.91,0.322,1530,
623,Eucalyptus deanei,Eucalyptus deanei,0.1976,0.2561,0.3553,985,1341,2092,49.85,52.36,58.88,53.7,8.68,0.27,1473,
624,Eucalyptus acmenoides,Eucalyptus acmenoides,0.4447,0.2595,0.1914,,,,0,0,0,0,#DIV/0!,0.299,#DIV/0!,
625,Eucalyptus paedoglauca,Eucalyptus paedoglauca,0.5715,0.616,0.4126,2492,2537,1749,43.61,41.19,42.39,42.39,2.85,0.533,2259,
626,Eucalyptus glaucina,Eucalyptus glaucina,1.2988,0.363,0.676,6729,2296,4059,51.81,63.25,60.04,58.37,10.11,0.779,4361,
627,Eucalyptus tenuiramis,Eucalyptus tenuramis,0.2943,0.2372,0.4032,,1045,1818,,44.06,45.09,44.57,1.64,0.312,1432,
628,Angophora costata subsp. costata,Angorphora costata subsp. costata,0.3329,0.3433,0.2175,1849,1736,1192,55.56,50.56,54.83,53.65,5.03,0.298,1593,
629,Eucalyptus squamosa,Eucalyptus squamosa,0.1784,0.5131,0.4146,776,2186,1648,43.47,42.61,39.76,41.95,4.63,0.369,1537,
630,Eucalyptus seeana,Eucalyptus seeana,0.2016,0.1492,0.1159,1322,999,825,65.57,66.94,71.21,67.9,4.33,0.156,1049,
631,Corymbia henryi,Corymbia henryi,0.6806,0.7074,,3714,3911,,54.57,55.29,,54.93,0.92,0.694,3813,
632,Eucalyptus curtisii,Eucalyptus curtisii,0.1643,0.1426,0.1837,833,704,918,50.7,49.37,49.97,50.01,1.33,0.164,818,
633,Corymbia abergiana,Corymbia abergiana,0.4443,1.0468,0.53,1627,3250,1901,36.62,31.05,35.87,34.51,8.76,0.674,2259,
634,NA,Corymbia trachyphloia subsp. trachyphlois,0.2581,0.3173,0.2633,1346,1497,1359,52.15,47.17,51.62,50.31,5.44,0.28,1401,
635,Eucalyptus mitchelliana,Eucalyptus mitchelliana,0.3646,0.4521,0.3456,1360,1579,1446,37.3,34.93,41.84,38.02,9.24,0.387,1462,
643,Eucalyptus impensa,Eucalyptus impensa,2.0451,2.0646,2.7447,4548,4460,5972,22.24,21.6,21.76,21.87,1.52,2.285,4993,
644,Corymbia terminalis,Corymbia terminalis,0.3445,0.2193,0.6804,1075,869,2108,31.2,39.63,30.98,33.94,14.52,0.415,1351,
645,Eucalyptus rosacea,Eucalyptus rosacea,0.1317,0.0633,0.0814,385,204,259,29.23,32.23,31.82,31.09,5.22,0.092,283,
646,NA,Eucalyptus behriana subsp. _glaucous”,0.3925,0.5046,0.3289,1149,1541,1130,29.27,30.54,34.36,31.39,8.43,0.409,1273,
647,Eucalyptus eremicola subsp. peeneri,Eucalyptus eremicola subsp. peeneri,0.0824,0.1212,0.1698,282,352,453,34.22,29.04,26.68,29.98,12.87,0.124,362,
648,Eucalyptus rameliana,Eucalyptus rameliana,1.2056,1.2098,,2658,2624,,22.05,21.69,,21.87,1.16,1.208,2641,
649,Eucalyptus longirostrata,Eucalyptus longirostrat,0.2917,0.3825,0.3433,1993,2129,1881,68.32,55.66,54.79,59.59,12.71,0.339,2001,
650,Eucalyptus ochrophloia,Eucalyptus ochrophloia,0.354,0.3971,0.3108,774,1200,910,21.86,30.22,29.28,27.12,16.87,0.354,961,
651,Eucalyptus caleyi subsp. caleyi,Eucalyptus caleyi subsp. caleyi,0.8302,0.4962,0.5526,2980,1674,2034,35.89,33.73,36.8,35.48,4.45,0.626,2229,
652,Eucalyptus lansdowneana,Eucalyptus lansdowneana,0.7007,0.9013,0.9726,1942,2539,2541,27.72,28.17,26.13,27.34,3.93,0.858,2341,
653,Angophora leiocarpa,Angophora leiocarpa,0.062,0.0694,0.0898,378,455,524,60.97,65.56,58.35,61.63,5.92,0.074,452,
654,Eucalyptus rubiginosa,Eucalyptus rubiginosa,0.3922,0.4766,0.511,1235,1403,1673,31.49,29.44,32.74,31.22,5.34,0.46,1437,
655,Eucalyptus aenea,Eucalyptus aenea,0.4429,0.1524,0.3416,1165,424,882,26.31,27.81,25.81,26.64,3.91,0.312,824,
656,NA,Corymbia trachyphloia sibsp amphistomatica,0.2323,0.2621,0.3679,1044,1151,,44.94,43.91,,44.43,1.64,0.287,1098,
657,Eucalyptus kochii subsp. kochii,Eucalyptus kochii subsp. kochii,0.222,0.2078,0.1919,726,691,703,32.7,33.26,36.63,34.2,6.21,0.207,707,
658,Eucalyptus coronata,Eucalyptus coronata,0.4901,0.6546,0.8373,,,,0,0,0,0,#DIV/0!,0.661,#DIV/0!,
659,Eucalyptus polyanthemos subsp. polyanthemos,Eucalyptus polyanthemos subsp. polyanthemos,0.2516,0.3722,0.3573,1062,1757,1786,42.21,47.21,49.99,46.47,8.48,0.327,1535,
660,Eucalyptus oleosa subsp. cylindroidea,Eucalyptus oleosa subsp. cylindroidea,0.2904,0.3694,0.2611,886,1159,763,30.51,31.38,29.22,30.37,3.57,0.307,936,
661,Eucalyptus albens,Eucalyptus albens,1.5777,1.082,,5745,4458,,36.41,41.2,,38.81,8.72,1.33,5102,
662,Eucalyptus leucoxylon subsp. stephaniae,Eucalyptus leucoxylon subsp. stephaniae,0.4951,0.3544,0.3177,1501,1110,1112,30.32,31.32,35,32.21,7.66,0.389,1241,
663,Eucalyptus brachycalyx,Eucalyptus brachycalyx,0.4911,0.2783,0.1657,1387,912,,28.24,32.77,,30.51,10.49,0.312,1150,
664,Eucalyptus nortonii,Eucalyptus nortonii,1.2981,0.8662,0.9047,4191,2797,3053,32.29,32.29,33.75,32.77,2.57,1.023,3347,
665,Eucalyptus cypellocarpa,Eucalyptus cypellocarpa (quinniorum),0.4121,0.8946,0.4294,1749,2862,1907,42.44,31.99,44.41,39.61,16.86,0.579,2173,
666,Eucalyptus serraensis,Eucalyptus serraensis,1.8536,1.4717,1.6217,5460,4617,5078,29.46,31.37,31.31,30.71,3.54,1.649,5052,
667,Eucalyptus leucoxylon subsp. leucoxylon,Eucalyptus leucoxylon subsp. leucoxylon,0.2057,0.1797,0.1994,1143,1072,956,55.57,59.65,47.94,54.39,10.93,0.195,1057,
668,Eucalyptus caleyi subsp. ovendenii,Eucalyptus caleyi sub ovendenii,0.6586,0.5101,0.8754,2605,1885,3267,39.55,36.95,37.32,37.94,3.71,0.681,2586,
669,Eucalyptus goniocalyx subsp. goniocalyx,Eucalyptus goniocalyx subsp. goniocalyx,0.7809,1.2585,0.7212,2466,3773,2436,31.58,29.98,33.78,31.78,5.99,0.92,2892,
670,Eucalyptus scopulorum,Eucalyptus scopulorum,0.6771,0.381,0.3173,3224,1561,1568,47.61,40.97,49.42,46,9.67,0.458,2118,
671,Eucalyptus bosistoana,Eucalyptus bosistoana,0.8049,0.836,0.7573,3120,3235,3019,38.76,38.7,39.87,39.11,1.68,0.799,3125,
672,Eucalyptus magnificata,Eucalyptus magnificata Enmore,0.3858,0.2895,0.2675,2251,1553,1749,58.35,53.64,65.38,59.12,9.99,0.314,1851,
673,Eucalyptus agglomerata,Eucalyptus agglomerata,0.7077,0.7228,0.5336,2482,2514,1794,35.07,34.78,33.62,34.49,2.23,0.655,2263,
677,Eucalyptus exserta,Eucalyptus exserta,0.3355,0.2147,0.2351,1957,1378,1455,58.33,64.18,61.89,61.47,4.8,0.262,1597,
678,Eucalyptus lockyeri subsp. lockyeri,Eucalyptus lockyeri subsp. lockyeri,0.2899,0.4069,0.4704,1344,1812,1885,46.36,44.53,40.07,43.65,7.41,0.389,1680,
679,Eucalyptus camaldulensis subsp. simulata,Eucalyptus camaldulensis subsp. simulata,0.7015,0.4185,0.5081,3254,1963,2251,46.39,46.91,44.3,45.86,3,0.543,2489,
680,Corymbia gummifera,Corymbia gummifera,0.4573,0.5547,0.6407,2347,2678,3035,51.32,48.28,47.37,48.99,4.22,0.551,2687,
681,Eucalyptus drepanophylla,Eucalyptus drepanophylla,0.3832,0.1456,0.0912,1796,688,,46.87,47.25,,47.06,0.58,0.207,1242,
682,Eucalyptus grandis,Eucalyptus grandis subsp. _grandis” (NSW),0.8046,0.7474,0.8695,4159,3901,4669,51.69,52.19,53.7,52.53,1.99,0.807,4243,
683,Eucalyptus granitica,Eucalyptus granitica,0.3154,0.4727,0.211,1100,1733,748,34.88,36.66,35.45,35.66,2.56,0.333,1194,
684,Eucalyptus pulverulenta,Eucalyptus pulverulenta,0.3328,0.3251,,1718,1870,,51.62,57.54,,54.58,7.66,0.329,1794,0.01
685,Eucalyptus raveretiana,Eucalyptus raveretiana,0.2375,0.4327,0.2225,1625,2760,1578,68.44,63.8,70.93,67.72,5.35,0.298,1988,
686,Eucalyptus lockyeri subsp. exuta,Eucalyptus lockyeri subsp. exuta,0.1826,0.0518,0.0784,968,295,459,53.01,56.95,58.55,56.17,5.07,0.104,574,
687,Corymbia rhodops,Corymbia rhodops,0.0961,0.0903,0.1458,612,545,860,63.67,60.4,59,61.02,3.93,0.111,672,
688,Eucalyptus rummeryi,Eucalyptus rummeryi,0.2833,0.1734,0.1771,1661,1215,1189,58.63,70.08,67.13,65.28,9.1,0.211,1355,
689,Eucalyptus cullenii,Eucalyptus cullenii,0.0592,0.063,0.0559,413,376,363,69.76,59.68,64.94,64.79,7.78,0.059,384,
690,Eucalyptus grisea,Eucalyptus grisea,0.4228,0.4233,0.4974,2231,2741,2996,52.77,64.75,60.23,59.25,10.22,0.448,2656,
691,Eucalyptus dunnii,Eucalyptus dunnii,0.5082,0.8435,,3317,6021,,65.27,71.38,,68.33,6.32,0.676,4669,
692,Eucalyptus panda,Eucalyptus panda,0.2334,0.3737,0.2064,1042,1718,846,44.64,45.97,40.99,43.87,5.88,0.271,1202,
693,Eucalyptus bancroftii,Eucalyptus bancroftii,0.7426,0.4865,,3205,2156,,43.16,44.32,,43.74,1.87,0.615,2681,
694,Corymbia leptoloma,Corymbia leptoloma,0.2965,0.4163,,2052,2574,,69.21,61.83,,65.52,7.96,0.356,2313,
695,Eucalyptus macta,Eucalyptus macta,0.2014,0.2894,0.1332,1252,1489,889,62.16,51.45,66.74,60.12,13.05,0.208,1210,
696,Eucalyptus propinqua,Eucalyptus propinqua,0.2295,0.2287,0.1521,1053,1143,734,45.88,49.98,48.26,48.04,4.28,0.203,977,
697,Eucalyptus ultima,Eucalyptus ultima,0.0683,0.151,0.1316,309,543,510,45.24,35.94,38.75,39.97,11.93,0.117,454,
698,Eucalyptus canaliculata,Eucalyptus canaliculata,0.2307,0.3492,0.6421,1245,1721,3256,53.97,49.28,50.71,51.32,4.68,0.407,2074,
699,Eucalyptus wyolensis,Eucalyptus wyolensis,0.7047,1.4186,,1862,3605,,26.42,25.41,,25.92,2.76,1.062,2734,
700,NA,Eucalyptus oldfieldii subsp. paupera,0.3376,0.2956,0.4495,797,674,1083,23.61,22.81,24.09,23.5,2.75,0.361,851,
701,Eucalyptus rowleyi,Eucalyptus rowleyi,0.5984,0.4195,0.5793,1676,1176,1602,28.01,28.04,27.66,27.9,0.77,0.532,1485,
702,Eucalyptus gongylocarpa,Eucalyptus gongylocarpa,0.2657,0.1498,0.286,1305,739,1346,49.13,49.35,47.07,48.51,2.59,0.234,1130,
703,Eucalyptus nudicaulis,Eucalyptus nudicaulis,0.405,0.4106,0.5301,1352,1447,1829,33.37,35.24,34.5,34.37,2.74,0.449,1543,
704,Eucalyptus trachybasis,Eucalyptus trachybasis,0.8526,0.5311,0.3133,2150,1417,904,25.22,26.69,28.84,26.91,6.76,0.566,1490,
705,Eucalyptus luculenta,Eucalyptus luculenta,1.1651,1.0588,2.1219,2471,2242,4356,21.21,21.18,20.53,20.97,1.84,1.449,3023,
706,Eucalyptus spathulata subsp. salina,Eucalyptus spathulata subsp. salina,0.0999,0.1439,0.0572,304,419,212,30.43,29.12,37.06,32.2,13.23,0.1,312,
707,Eucalyptus singularis,Eucalyptus singularis,0.1334,0.0696,0.1526,420,283,513,31.48,40.66,33.62,35.25,13.62,0.119,405,
708,Eucalyptus optima,Eucalyptus optima,1.3815,1.271,,2469,2556,,17.87,20.11,,18.99,8.33,1.326,2513,
709,Eucalyptus kochii subsp borealis,Eucalyptus kochii subsp. borealis,0.3265,0.163,0.1798,972,676,729,29.76,41.5,40.52,37.26,17.48,0.223,792,
710,Eucalyptus dolichocera,Eucalyptus dolichocera,0.6225,0.3991,0.626,1490,955,1520,23.94,23.93,24.28,24.05,0.84,0.549,1322,
711,Eucalyptus kochii subsp. plenissima,Eucalyptus kochii subsp. plenissima,0.7456,0.8321,,2099,2346,,28.15,28.19,,28.17,0.11,0.789,2223,
712,Eucalyptus victoriana,Eucalyptus virctoriana,0.9217,1.1115,0.7912,2501,2721,2044,27.13,24.48,25.83,25.82,5.14,0.941,2422,
713,Eucalyptus crucis subsp. praecipua,Eucalyptus crucis subsp. praecipua,0.2918,0.2448,0.2707,1195,1013,1067,40.95,41.38,39.42,40.58,2.55,0.269,1092,
714,Eucalyptus argillacea,Eucalyptus argillacea,0.3186,0.3034,0.3699,1581,1693,1797,49.62,55.81,48.58,51.34,7.61,0.331,1690,
715,Eucalyptus verrucata,Eucalyptus verrucata,1.5057,1.8423,,3172,4028,,21.07,21.86,,21.47,2.63,1.674,3600,
716,Eucalyptus leucoxylon subsp leucoxylon,Eucalyptus leucoxylon subsp. leucoxylon,0.4355,0.2522,0.2762,1573,1059,1010,36.12,41.99,36.57,38.23,8.55,0.321,1214,
717,Eucalyptus kochii subsp. yellowdinensis,Eucalyptus kochii subsp. yellowdinensis,0.0752,0.124,0.1295,296,398,,39.36,32.1,,35.73,14.38,0.11,347,
718,Eucalyptus carnea,Eucalyptus carnea,0.9069,1.2462,,3610,4796,,39.81,38.48,,39.15,2.39,1.077,4203,
719,Eucalyptus doratoxylon,Eucalyptus dorotoxylon,0.1189,0.0989,0.095,751,537,471,63.16,54.3,49.58,55.68,12.39,0.104,586,
720,Eucalyptus gillenii,Eucalyptus gillenii,0.5031,0.3763,0.5066,1463,1313,1457,29.08,34.89,28.76,30.91,11.17,0.462,1411,
721,Eucalyptus ligulata subsp. ligulata,Eucalyptus ligulata subsp. ligulata,0.2662,0.144,0.0583,1007,436,249,37.83,30.28,42.71,36.94,16.96,0.156,564,
722,Eucalyptus nutans,Eucalyptus nutans,0.9606,0.5915,,3160,1928,,32.9,32.6,,32.75,0.65,0.776,2544,
723,Eucalyptus calycogona subsp miraculum,Eucalyptus calycogona subsp. miracula,0.1639,0.1092,0.1436,808,589,693,49.3,53.94,48.26,50.5,5.99,0.139,697,
724,Eucalyptus talyuberlup,Eucalyptus talyuberlup Sth,0.446,0.4194,0.4148,1115,934,1109,25.01,22.27,26.73,24.67,9.12,0.427,1053,
725,Eucalyptus dalrympleana,Eucalyptus dalrympleana subsp. alpina ms,1.0155,1.9675,,3673,6632,,36.16,33.71,,34.93,4.98,1.492,5152,
726,Eucalyptus retusa,Eucalyptus retusa,0.2473,0.388,0.1319,734,881,367,29.68,22.71,27.82,26.74,13.51,0.256,661,
727,NA,Eucalyptus virginia,0.2201,0.1767,0.1346,1331,950,804,60.47,53.74,59.76,57.99,6.38,0.177,1028,
728,Eucalyptus incerata,Eucalyptus incerata,0.404,0.3488,0.3027,1649,1451,1292,40.82,41.6,42.68,41.7,2.25,0.352,1464,
729,Eucalyptus globoidea,Eucalyptus globoidea,0.5425,0.3632,0.5401,2179,1243,1975,40.17,34.22,36.57,36.99,8.09,0.482,1799,
730,Eucalyptus elata,Eucalyptus elata,0.1419,0.2331,0.277,1014,1581,1763,71.44,67.82,63.66,67.64,5.75,0.217,1453,
731,Eucalyptus rubida subsp. barbigerorum,Eucalyptus rubida subsp. barbigarorum,0.6814,0.6088,,2905,3731,,42.63,61.28,,51.96,25.39,0.645,3318,
732,Eucalyptus radiata subsp. radiata,Eucalyptus radiata subsp. radiata,0.1911,0.2417,0.2605,946,1231,1220,49.52,50.94,46.85,49.1,4.23,0.231,1133,
733,Eucalyptus stenostoma,Eucalyptus stenostoma,0.5448,0.2571,0.2718,2021,1136,1160,37.09,44.18,42.67,41.31,9.04,0.358,1439,
734,Eucalyptus dalrympleana subsp. heptantha,Eucalyptus dalrympleana subsp. heptantha,1.1685,0.3956,0.4634,5699,1737,2341,48.77,43.91,50.52,47.73,7.17,0.676,3259,
735,Eucalyptus rummeryi,Eucalyptus rummeryi,0.1829,0.3057,0.2483,,,,0,0,0,0,#DIV/0!,0.246,#DIV/0!,
736,Eucalyptus ligustrina,Eucalyptus ligustrina,0.1122,0.1209,0.1212,,,,0,0,0,0,#DIV/0!,0.118,#DIV/0!,
737,Eucalyptus saligna,Eucalyptus saligna,0.2307,0.2627,0.2716,1607,1544,2032,69.66,58.77,74.82,67.75,12.09,0.255,1728,
738,Eucalyptus olida,Eucalyptus olida,0.9841,0.5357,,4053,2639,,41.18,49.26,,45.22,12.63,0.76,3346,
739,Eucalyptus radiata subsp. sejuncta,Eucalyptus radiata subsp. sejuncta,0.1053,0.1973,0.2497,645,493,1238,61.25,24.99,49.58,45.27,40.89,0.184,792,
740,NA,Eucalyptus fergusonii subsp. fergusonii,0.3601,0.3503,0.5335,1615,1806,2507,44.86,51.56,46.99,47.8,7.17,0.415,1976,
741,NA,Eucalyptus reudderi,0.1197,0.1862,0.2573,757,1274,1847,63.24,68.42,71.78,67.82,6.35,0.188,1293,
742,Eucalyptus perriniana,Eucalyptus perreniana,0.3042,0.5691,0.2345,1414,2336,1230,46.49,41.05,52.44,46.66,12.21,0.369,1660,
743,Eucalyptus resinifera subsp. hemilampra,Eucalyptus resinifera subsp. hemilampra,0.3107,0.2839,0.4022,,1268,1701,,44.66,42.29,43.48,3.86,0.332,1485,
744,Eucalyptus nitida,Eucalyptus nitida,0.2963,0.3025,0.2339,1102,1178,783,37.19,38.94,33.48,36.54,7.64,0.278,1021,
745,Eucalyptus scias subsp. scias,Eucalyptus scias subsp. scias,0.3114,0.2415,0.673,1479,1069,2306,47.48,44.25,34.26,42,16.41,0.409,1618,
746,Eucalyptus tetrapleura,Eucalyptus tetrapleura,0.5854,0.3635,0.4327,2521,1649,1926,43.06,45.36,44.51,44.31,2.62,0.461,2032,
747,Eucalyptus oreades,Eucalyptus oreades,0.4784,1.2545,,1826,4541,,38.17,36.2,,37.18,3.75,0.866,3183,
748,Eucalyptus microcorys,Eucalyptus microcorys,0.1523,0.2428,0.1761,1097,1648,1351,72.03,67.87,76.72,72.21,6.13,0.19,1365,
749,Eucalyptus paniculata,Eucalyptus paniculata,0.6888,0.5814,0.7574,3243,3274,4042,47.08,56.32,53.36,52.25,9.03,0.676,3520,
750,Eucalyptus resinifera subsp. resinifera,Eucalyptus resinifera subsp. resinifera,0.4908,0.8249,0.3689,2373,3906,1317,48.34,47.36,35.71,43.8,16.04,0.562,2532,
751,Eucalyptus resinifera subsp. resinifera,,0.4622,0.591,0.3811,1492,1873,1563,32.27,31.68,41.01,34.99,14.93,0.478,1642,
752,Eucalyptus resinifera subsp. resinifera,,0.3405,0.3919,0.2488,1865,2042,1244,54.76,52.11,50,52.29,4.56,0.327,1717,
753,Eucalyptus resinifera subsp. resinifera,,0.2051,0.0904,0.3196,848,388,1257,41.35,42.92,39.33,41.2,4.37,0.205,831,
754,Eucalyptus resinifera subsp. resinifera,,0.3161,0.2583,0.4179,1577,1168,2103,49.89,45.22,50.32,48.48,5.84,0.331,1616,
755,Eucalyptus resinifera subsp. resinifera,,0.302,0.3222,0.3832,1360,1515,1577,45.03,47.02,41.15,44.4,6.72,0.336,1484,
756,Eucalyptus resinifera subsp. resinifera,,0.526,0.2808,0.5647,2093,1169,2529,39.79,41.63,44.78,42.07,6,0.457,1930,
757,Eucalyptus carnei,Eucalyptus carnei,0.2913,0.4822,0.2983,1039,1387,1044,35.67,28.76,35,33.14,11.49,0.357,1157,
758,NA,Eucalyptus redimulicifera,0.3444,0.1593,0.24,1649,631,1250,47.88,39.61,52.08,46.52,13.64,0.248,1177,
759,Eucalyptus polyanthemos subsp. vestita,Eucalyptus polyathemos subsp.. Vestita,0.6937,0.4006,0.2322,2838,1840,1002,40.91,45.93,43.15,43.33,5.8,0.442,1893,
760,Eucalyptus polybractea,Eucalyptus polybractea,0.2266,0.2115,0.2055,978,924,836,43.16,43.69,40.68,42.51,3.78,0.215,913,
761,Eucalyptus macrorhyncha,Eucalyptus macochyncha subsp.. Macrochyncha,0.5266,0.4386,0.1048,2504,2098,449,47.55,47.83,42.84,46.08,6.08,0.357,1684,
762,Eucalyptus dawsonii,Eucalyptus dawsonii,0.4411,0.3722,0.4441,1818,1885,1945,41.22,50.64,43.8,45.22,10.78,0.419,1883,
763,Eucalyptus tenella,Eucalyptus tenella,0.1765,0.1626,0.1483,710,696,543,40.23,42.8,36.61,39.88,7.8,0.162,650,
764,Eucalyptus dwyeri,Eucalyptus dwyeri _mallee”,0.2771,0.2556,0.2031,1121,978,752,40.47,38.25,37.04,38.59,4.51,0.245,950,
765,Eucalyptus caleyi subsp. Caleyi,Eucalyptus caleyi subsp.. Caleyi,0.293,0.2658,0.4248,1426,1116,1796,48.66,42,42.28,44.31,8.5,0.328,1446,
766,Eucalyptus melliodora,Eucalyptus melliodora,0.295,0.1784,0.3512,1515,932,1694,51.37,52.22,48.24,50.61,4.15,0.275,1380,
767,Eucalyptus viridis subsp. Viridis,Eucalyptus viridis subsp.. Viridis,0.1874,0.19,0.1798,825,654,600,44.02,34.42,33.37,37.27,15.75,0.186,693,
768,Eucalyptus pilligaensis,Eucalyptus pilligaensis,0.2604,0.256,0.211,1045,1094,1035,40.13,42.73,49.05,43.97,10.43,0.242,1058,
769,Eucalyptus tereticornis subsp. tereticornis,Eucalyptus tereticornis subsp. tereticornis,0.3657,0.4338,0.3172,1707,2032,1451,46.67,46.83,45.75,46.41,1.26,0.372,1730,
770,Eucalyptus fibrosa subsp. fibrosa,Eucalyptus fibrosa subsp. fibrosa,0.4295,0.4836,0.3412,1859,2365,1729,43.28,48.91,50.67,47.62,8.1,0.418,1984,
771,Eucalyptus fibrosa subsp. fibrosa,Eucalyptus fibrosa subsp. fibrosa,0.3167,0.6842,,1340,2850,,42.32,41.65,,41.99,1.12,0.5,2095,
772,Eucalyptus crebra,Eucalyptus crebra,0.2618,0.1075,0.0991,1232,766,735,47.06,71.26,74.17,64.16,23.19,0.156,911,
773,Eucalyptus argophloia,Eucalyptus argophloia,0.1742,0.1565,0.1928,981,935,1128,56.33,59.75,58.5,58.19,2.97,0.175,1015,
774,Eucalyptus sideroxylon,Eucalyptus sideroxylon,0.312,0.2825,0.2966,1626,1619,1639,52.13,57.31,55.25,54.9,4.76,0.297,1628,
775,Eucalyptus dura,Eucalyptus dura,0.4288,0.2806,0.4138,1685,1217,1700,39.3,43.37,41.09,41.26,4.94,0.374,1534,
776,Eucalyptus cambageana,Eucalyptus cambageana,0.554,0.4894,0.5239,2619,2175,2414,47.27,44.44,46.08,45.93,3.09,0.522,2403,